"CountryNm","TimeStamp","ConfirmedNm","RecentCaseNum","DeathNum","RecentDeathNum","TransmissionMode"
"Australia","2020-03-05","57","14","2","2","Local transmission"
"Australia","2020-03-06","57","0","2","0","Local transmission"
"Australia","2020-03-07","62","5","2","0","Local transmission"
"Australia","2020-03-08","74","12","3","1","Local transmission"
"Australia","2020-03-09","77","3","3","0","Local transmission"
"Australia","2020-03-10","92","15","3","0","Local transmission"
"Australia","2020-03-11","112","20","3","0","Local transmission"
"Australia","2020-03-12","122","10","3","0","Local transmission"
"Australia","2020-03-14","197","57","3","0","Local transmission"
"Australia","2020-03-15","249","52","3","0","Local transmission"
"Australia","2020-03-16","298","0","5","0","Local transmission"
"Australia","2020-03-17","375","77","5","0","Local transmission"
"Australia","2020-03-18","414","78","5","0","Local transmission"
"Australia","2020-03-19","510","96","6","1","Local transmission"
"Bangladesh","2020-03-09","3","3","0","0","Local transmission"
"Bangladesh","2020-03-10","3","0","0","0","Local transmission"
"Bangladesh","2020-03-11","3","0","0","0","Local transmission"
"Bangladesh","2020-03-12","3","0","0","0","Local transmission"
"Bangladesh","2020-03-14","3","0","0","0","Local transmission"
"Bangladesh","2020-03-15","3","0","0","0","Local transmission"
"Bangladesh","2020-03-16","5","2","0","0","Local transmission"
"Bangladesh","2020-03-17","8","3","0","0","Local transmission"
"Bangladesh","2020-03-18","8","0","0","0","Local transmission"
"Bangladesh","2020-03-19","10","2","0","0","Local transmission"
"Canada","2020-03-05","30","0","0","0","Local transmission"
"Canada","2020-03-06","45","15","0","0","Local transmission"
"Canada","2020-03-07","51","6","0","0","Local transmission"
"Canada","2020-03-08","57","6","0","0","Local transmission"
"Canada","2020-03-09","62","5","0","0","Local transmission"
"Canada","2020-03-10","77","15","0","0","Local transmission"
"Canada","2020-03-11","93","16","1","1","Local transmission"
"Canada","2020-03-12","93","0","1","0","Local transmission"
"Canada","2020-03-14","176","38","1","0","Local transmission"
"Canada","2020-03-15","244","68","1","0","Local transmission"
"Canada","2020-03-16","304","60","1","0","Local transmission"
"Canada","2020-03-17","424","120","1","0","Local transmission"
"Canada","2020-03-18","424","120","1","0","Local transmission"
"Canada","2020-03-19","569","145","8","7","Local transmission"
"Italy","2020-03-05","3089","587","107","27","Local transmission"
"Italy","2020-03-06","3858","769","148","41","Local transmission"
"Italy","2020-03-07","4636","778","197","49","Local transmission"
"Italy","2020-03-08","5883","1247","234","37","Local transmission"
"Italy","2020-03-09","7375","1492","366","132","Local transmission"
"Italy","2020-03-10","9172","1797","463","97","Local transmission"
"Italy","2020-03-11","10149","977","631","168","Local transmission"
"Italy","2020-03-12","12462","2313","827","196","Local transmission"
"Italy","2020-03-14","17660","2547","1268","252","Local transmission"
"Italy","2020-03-15","21157","3497","1441","173","Local transmission"
"Italy","2020-03-16","24747","3590","1809","368","Local transmission"
"Italy","2020-03-17","27980","3233","2503","349","Local transmission"
"Italy","2020-03-18","31506","3526","2503","345","Local transmission"
"Italy","2020-03-19","35713","4207","2978","473","Local transmission"
"Republic of Korea","2020-03-05","5766","438","35","3","Local transmission"
"Republic of Korea","2020-03-06","6284","518","42","7","Local transmission"
"Republic of Korea","2020-03-07","6767","483","44","2","Local transmission"
"Republic of Korea","2020-03-08","7134","367","50","6","Local transmission"
"Republic of Korea","2020-03-09","7382","248","51","1","Local transmission"
"Republic of Korea","2020-03-10","7513","131","54","3","Local transmission"
"Republic of Korea","2020-03-11","7755","242","60","6","Local transmission"
"Republic of Korea","2020-03-12","7869","114","66","6","Local transmission"
"Republic of Korea","2020-03-14","8086","107","72","6","Local transmission"
"Republic of Korea","2020-03-15","8162","76","75","3","Local transmission"
"Republic of Korea","2020-03-16","8236","74","75","0","Local transmission"
"Republic of Korea","2020-03-17","8320","84","81","6","Local transmission"
"Republic of Korea","2020-03-18","8320","84","81","6","Local transmission"
"Republic of Korea","2020-03-19","8413","93","84","3","Local transmission"
"United States of America","2020-03-05","129","21","9","3","Local transmission"
"United States of America","2020-03-06","148","19","10","1","Local transmission"
"United States of America","2020-03-07","213","65","11","1","Local transmission"
"United States of America","2020-03-08","213","0","11","0","Local transmission"
"United States of America","2020-03-09","213","0","11","0","Local transmission"
"United States of America","2020-03-10","472","259","19","8","Local transmission"
"United States of America","2020-03-11","696","224","25","6","Local transmission"
"United States of America","2020-03-14","1678","414","41","5","Local transmission"
"United States of America","2020-03-15","1678","0","41","0","Local transmission"
"United States of America","2020-03-16","1678","0","41","0","Local transmission"
"United States of America","2020-03-17","3503","1825","58","17","Local transmission"
"United States of America","2020-03-18","3536","1822","58","17","Local transmission"
"United States of America","2020-03-19","7087","3551","100","42","Local transmission"
