"CountryNm","ConfirmedNum","RecentCaseNum","DeathNum","RecentDeathNum","TransmissionMode","TimeStamp"
"Republic of Korea","5766","438","35","3","Local transmission","20200305"
"Republic of Korea","6284","518","42","7","Local transmission","20200306"
"Republic of Korea","6767","483","44","2","Local transmission","20200307"
"Republic of Korea","7134","367","50","6","Local transmission","20200308"
"Republic of Korea","7382","248","51","1","Local transmission","20200309"
"Republic of Korea","7513","131","54","3","Local transmission","20200310"
"Republic of Korea","7755","242","60","6","Local transmission","20200311"
"Republic of Korea","7869","114","66","6","Local transmission","20200312"
"Republic of Korea","8086","107","72","6","Local transmission","20200314"
"Republic of Korea","8162","76","75","3","Local transmission","20200315"
"Republic of Korea","8236","74","75","0","Local transmission","20200316"
"Republic of Korea","8320","84","81","6","Local transmission","20200317"
"Republic of Korea","8320","84","81","6","Local transmission","20200318"
