CountryNm,ConfirmedNum,RecentCaseNum,DeathNum,RecentDeathNum,TransmissionMode,TimeStamp
United States of America,129,21,9,3,Local transmission,20200305
United States of America,148,19,10,1,Local transmission,20200306
United States of America,213,65,11,1,Local transmission,20200307
United States of America,213,0,11,0,Local transmission,20200308
United States of America,213,0,11,0,Local transmission,20200309
United States of America,472,259,19,8,Local transmission,20200310
United States of America,696,224,25,6,Local transmission,20200311
United States of America,1678,414,41,5,Local transmission,20200314
United States of America,1678,0,41,0,Local transmission,20200315
United States of America,1678,0,41,0,Local transmission,20200316
United States of America,3503,1825,58,17,Local transmission,20200317
United States of America,3536,1822,58,17,Local transmission,20200318
United States of America,264,277,36,7,Local transmission,20200313
United States of America,,,,,,20200312
